,Date,Open,High,Low,Close,Adj Close,Volume
231,2001-08-31,5.809133,5.997475,5.7670449999999995,5.916456,5.916456,44932000
232,2001-09-04,5.876473000000001,5.968013,5.7239059999999995,5.7291669999999995,5.7291669999999995,51740700
233,2001-09-05,5.703914,5.930135,5.659722,5.75021,5.75021,81470100
234,2001-09-06,5.6954970000000005,5.892256,5.6292089999999995,5.796507,5.796507,64398100
235,2001-09-07,5.538721,5.730219,5.377736,5.571338,5.571338,95320300
236,2001-09-10,5.525042,5.760732,5.407197,5.741793,5.741793,65742900
237,2001-09-17,5.334596,5.484007,5.176768,5.197812,5.197812,120498300
238,2001-09-18,5.306187,5.481902,5.225168,5.260943,5.260943,89028700
239,2001-09-19,5.2135940000000005,5.217803,4.728535,5.085227,5.085227,138114900
240,2001-09-20,4.892677,4.945286,4.668561,4.733796,4.733796,99299600
241,2001-09-21,4.394991,4.736953,4.366582,4.607533,4.607533,131197900
242,2001-09-24,4.628577,4.950547,4.628577,4.9221379999999995,4.9221379999999995,85010400
243,2001-09-25,4.903199,5.088384,4.830598,4.933712,4.933712,71773200
244,2001-09-26,5.009469999999999,5.019991,4.619108,4.633838,4.633838,60224900
245,2001-09-27,4.525462999999999,4.79798,4.259258999999999,4.746423,4.746423,109763500
246,2001-09-28,4.803241000000001,4.913721,4.571758999999999,4.813763,4.813763,96120600
247,2001-10-01,4.661194999999999,5.037879,4.629630000000001,4.942130000000001,4.942130000000001,97526200
248,2001-10-02,4.955808,5.116793,4.903199,4.996843,4.996843,88837600
249,2001-10-03,4.85585,5.366162,4.802188,5.255682,5.255682,130239900
250,2001-10-04,5.337752,5.689184,5.274621,5.530303,5.530303,101891400
251,2001-10-05,5.455598,5.678662,5.392467,5.618687,5.618687,77392900
252,2001-10-08,5.512416,5.83649,5.47138,5.831229,5.831229,70083400
253,2001-10-09,5.800715,5.808081,5.670244,5.722854,5.722854,46713100
254,2001-10-10,5.652357,6.003788,5.611321,5.984848,5.984848,64368600
255,2001-10-11,6.018518,6.407828,5.991162,6.2542089999999995,6.2542089999999995,123177500
256,2001-10-12,6.1973910000000005,6.228956,5.944865,6.198443,6.198443,58305100
257,2001-10-15,6.1458330000000005,6.585648,6.039562,6.478325,6.478325,97630700
258,2001-10-16,6.531987,6.6792929999999995,6.381524,6.481482,6.481482,97012000
259,2001-10-17,6.501473000000001,6.5098910000000005,5.999579,6.006945,6.006945,102867400
260,2001-10-18,6.030093,6.279461,6.018518,6.214226,6.214226,79883000
261,2001-10-19,5.7438970000000005,5.75968,5.430345,5.46612,5.46612,213722100
262,2001-10-22,5.419823,5.664983,5.419823,5.585017,5.585017,94637000
263,2001-10-23,5.617635,5.902778,5.606061,5.848064,5.848064,116815500
264,2001-10-24,5.799663,6.018518,5.672348,6.016414,6.016414,83675100
265,2001-10-25,5.850168,6.240530000000001,5.764941,6.221591,6.221591,94222600
266,2001-10-26,6.099537000000001,6.202652,5.953283,5.997475,5.997475,65457800
267,2001-10-29,6.01431,6.138468,5.393518,5.5260940000000005,5.5260940000000005,186105400
268,2001-10-30,5.48085,5.733376,5.261995,5.619739,5.619739,176097700
269,2001-10-31,5.696549,5.776515,5.45665,5.521885,5.521885,100035300
270,2001-11-01,5.551347,5.661827,5.4114059999999995,5.601852,5.601852,96610000
271,2001-11-02,5.576599,5.676557,5.393518,5.439815,5.439815,69677600
272,2001-11-05,5.498737,5.75021,5.486111,5.666035,5.666035,60228700
273,2001-11-06,5.611321,5.900673,5.566077,5.858586,5.858586,64073100
274,2001-11-07,5.796507,6.133207,5.787037000000001,5.9543349999999995,5.9543349999999995,84151200
275,2001-11-08,6.013258,6.176347,5.813342,5.823864,5.823864,63565600
276,2001-11-09,5.82702,6.049032,5.737584,5.992214,5.992214,43654700
277,2001-11-12,5.972222,6.144781,5.865951,6.066919,6.066919,47619700
278,2001-11-13,6.171086,6.307869999999999,6.092172,6.298401,6.298401,63372600
279,2001-11-14,6.364688,6.576179,6.338384,6.5383,6.5383,86866500
280,2001-11-15,6.42782,6.483586,6.2615739999999995,6.3204970000000005,6.3204970000000005,67335800
